기관명,기관구분,주소,홈페이지,위도,경도
가족사랑서울정신건강의학과의원,의원,서울특별시 동작구 보라매로 113 (대방동),http://www.ifamilylove.co.kr/,37.4994633095093 ,126.9278966140440 
가족사랑정신과의원,의원,대구광역시 중구 달구벌대로 2111 (덕산동),,35.8655635765164 ,128.5947621703220 
가족사랑정신과의원,의원,서울특별시 강서구 양천로 461 5층 (가양동),,37.5630457825024 ,126.8522238621570 
가톨릭관동대학교 국제성모병원,종합병원,인천광역시 서구 심곡로100번길 25-0 인천국제성모병원,https://www.ish.or.kr/,37.5423430940453 ,126.6835685584090 
가톨릭대학교 성빈센트병원,종합병원,경기도 수원시 팔달구 중부대로 93 (지동),https://www.cmcvincent.or.k,37.2779235166444 ,127.0274497889820 
가톨릭대학교 여의도성모병원,종합병원,서울특별시 영등포구 63로 10 여의도성모병원 (여의도동),https://www.cmcsungmo.or.kr/,37.5182708055078 ,126.9367298267620 
가톨릭대학교 은평성모병원,종합병원,서울특별시 은평구 통일로 1021 (진관동),https://www.cmcep.or.kr/,37.6336094022541 ,126.9161525255340 
가톨릭대학교부천성모병원,종합병원,경기도 부천시 소사로 327 (소사동),https://www.cmcbucheon.or.kr/,37.4874965143342 ,126.7930327794710 
가톨릭대학교의정부성모병원,종합병원,경기도 의정부시 천보로 271 의정부성모병원 (금오동),https://www.cmcujb.or.kr/,37.7586506099181 ,127.0779505877720 
가톨릭대학교인천성모병원,상급종합병원,인천광역시 부평구 동수로 56 (부평동),https://www.cmcism.or.kr/,37.4841321783110 ,126.7252070950340 
가톨릭정신건강의학과의원,의원,제주특별자치도 제주시 도령로 1 (노형동),,33.4868126739410 ,126.4793212674820 
가평군보건소,보건소,경기도 가평군 가평읍 가화로 155-18 ,https://www.gp.go.kr/,37.8335028053352 ,127.5106010423720 
가평군자살예방센터,자살예방센터,경기도 가평군 가평읍 가화로 155-15,www.gpmhc.com,37.8330135308471 ,127.5108228153370 
가평꽃동네 정신요양원,정신요양시설,경기도 가평군 조종면 꽃동네길 60,caf?'daum.net/fvjhouse,37.8854385289380 ,127.3505343901640 
강남 연정신건강의학과의원,의원,서울특별시 강남구 학동로 338 강남파라곤 1층 101호,http://www.yeonclinic.co.kr/,37.5165402749359 ,127.0401622345200 
강남구 보건소,보건소,서울특별시 강남구 선릉로 668 ,https://health.gangnam.go.kr,37.5163174300699 ,127.0423034806340 
강남구 정신건강복지센터,기초정신건강복지센터,"서울특별시 강남구 자곡로 100, 자곡문화센터 2층",https://health.gangnam.go.kr/,37.4714960885035 ,127.0944958080840 
강남구립 행복요양병원,공립,서울특별시 강남구 헌릉로 590길 60,http://www.gangnamguhospital.kr/,37.4611766303736 ,127.1033226423200 
강남병원,종합병원,경기도 용인시 기흥구 중부대로 411 강남병원 (신갈동),http://www.knmc.or.kr/,37.2736747740558 ,127.1114342721060 
강남정신건강의학과의원,의원,"서울특별시 강남구 테헤란로 119 (역삼동, 5층 일부)",,,
강남정신건강의학괴의원,의원,대구 북구 신암로 111 강남메디칼타워 3층 303호,https://blog.naver.com/hiroro35,35.8808355826175 ,128.6112895121070 
강남정신과의원,의원,서울특별시 강동구 천호대로 997,,37.5393391659214 ,127.1233017309640 
강남푸른정신건강의학과의원,의원,서울특별시 서초구 서초동 1329-6 5층 501호,https://gangnampureun.modoo.at/,37.4937184392763 ,127.0291067170440 
강남하늘정신건강의학과의원,의원,서울특별시 강남구 봉은사로 105 5층,https://gangnamskyclinic.modoo.at/,37.5049715004391 ,127.0250242078650 
강동경희대학교병원,종합병원,서울특별시 강동구 동남로 892 (상일동),http://www.khnmc.or.kr/,37.5520459324005 ,127.1570847878450 
강동구 보건소,보건소,서울특별시 강동구 성내로 45,https://health.gangdong.go.kr/,37.5295419850552 ,127.1255855059760 
강동우정신건강의학과의원,의원,경기도 성남시 분당구 성남대로 345 정자역 프라자빌딩 506호 (정자동),https://khangpsy.modoo.at/,37.3669418268001 ,127.1077025425080 
강릉보건소,보건소,강원도 강릉시 남부로17번길 38(내곡동),https://www.gn.go.kr/,37.7428443073466 ,128.8827693246600 
강릉시정신건강복지센터,기초정신건강복지센터,"강릉시 남구길 23번길24 3층,4층",www.gnmind.com,37.7636350288816 ,128.9032238480620 
강릉아산병원,종합병원,강원도 강릉시 사천면 방동길 38 ,https://www.gnah.co.kr/,37.8184029737952 ,128.8578244690580 
강릉율곡병원,병원,강원도 강릉시 동해대로 3304번길 11(난곡동),http://www.yghospital.co.kr/,37.7864333604402 ,128.8740554543110 
강릉중독관리통합지원센터,중독관리통합지원센터,강원도 강릉시 용지로144 리치빌딩 4층,http://gnamc.or.kr/,37.7616877892768 ,128.9025033210140 
강병구정신건강의학과의원,의원,부산광역시 동래구 충렬대로 132 (온천동),,35.2055556235109 ,129.0746964727270 
강봉선신경정신과의원,의원,"강원도 원주시 서원대로 383 3층 401호 (개운동, 한신프라자)",,37.3319941887022 ,127.9485671229090 
강북구 정신건강복지센터,기초정신건강복지센터,서울특별시 강북구 삼양로19길 154 삼각산분소 3층,ehealth.gangbuk.go.kr/site/kr/maeum,37.6170464839465 ,127.0156398600090 
강북구보건소,보건소,서울특별시 강북구 한천로 897 ,https://ehealth.gangbuk.go.kr/,37.6318813026665 ,127.0390622179790 
강북삼성병원,상급종합병원,서울특별시 종로구 새문안로 29 (평동),https://www.kbsmc.co.kr/,37.5688677261045 ,126.9678127036960 
강서구보건소,보건소,서울특별시 강서구 공항대로 561 강서보건소,,37.5496484034980 ,126.8682801812440 
강서그룹홈,정신재활시설,서울특별시 강서구 초록마을로16길 20,www.wmind.org,37.5411864539361 ,126.8495434544770 
강서양지,정신재활시설,"서울특별시 강서구 등촌로35 가길 26, 301호",https://blog.naver.com/gsyj1,37.5374354399218 ,126.8622655510970 
강서필병원,병원,서울특별시 강서구 강서로17길 24,http://www.feelhp.com/,37.5330456397929 ,126.8441838783640 
강신경정신과의원,의원,서울특별시 관악구 신림로 340 르네상스 복합쇼핑몰 13층 1304호,http://kskclinic.kr/,37.4847625375982 ,126.9300965482940 
강신삼신경정신과의원,의원,서울 동대문구 홍릉로 5,,37.5808242523432 ,127.0447330221000 
강원대학교병원,국립,강원도 춘천시 백령로 156,,37.8757750717447 ,127.7450110334290 
강원대학교병원,종합병원,강원도 춘천시 백령로 156 (효자동),,37.8757750717447 ,127.7450110334290 
강원대학교병원,광역정신건강복지센터,강원도 춘천시 춘천로 306-5,www.gwmh.or.kr,37.8813279070611 ,127.7471783482440 
강원대학교병원,기초정신건강복지센터,강원도 춘천시 효제길 35,www.chmhc.org,37.8713350506268 ,127.7372202209400 
강원도 삼척의료원,공립,강원도 삼척시 오십천로 418,,37.4403271745996 ,129.1633427651600 
강원도 속초의료원,공립,강원도 속초시 영랑호반길 3,,38.2160548810401 ,128.5878902967290 
강원도 영월의료원,종합병원,강원도 영월군 영월읍 중앙1로 59 ,,37.1864962461335 ,128.4657014346800 
강원도 원주의료원,공립,강원도 원주시 서원대로 387 (개운동),,37.3328048050440 ,127.9490405010870 
강원도 원주의료원,종합병원,강원도 원주시 서원대로 387 (개운동),,37.3328048050440 ,127.9490405010870 
강원도속초의료원,종합병원,강원도 속초시 영랑호반길 3 (영랑동),,38.2160548810401 ,128.5878902967290 
강원도자살예방센터,자살예방센터,강원도 춘천시 춘천로 306-5 유칭프라자 3층,www.gwmh.or.kr,37.8813279070611 ,127.7471783482440 
강원도청 보건정책과,보건소,강원도 춘천시 중앙로 1 (봉의동) 강원도청 보건정책과,,37.8800729197963 ,127.7279078203180 
강정신건강의학과의원,의원,대구광역시 중구 달구벌대로 2094 8층 (남산동),,35.8652806010911 ,128.5925900579790 
강정신건강의학과의원,의원,"부산광역시 해운대구 양운로 82 801호 (좌동, 화인크리닉)",,35.1704557064024 ,129.1755678230830 
강정신건강의학과의원,의원,부산광역시 부산진구 동평로 422 6층 (양정동),,35.1728554893620 ,129.0706378655740 
강지윤정신건강의학과의원,의원,"경기도 수원시 영통구 봉영로 1612 419호호 (영통동, 보보스프라자)",,37.2544841340210 ,127.0750220757920 
강진군 정신건강복지센터,기초정신건강복지센터,전라남도 강진군 강진읍 목리길11,,34.6383362257568 ,126.7757100266870 
강진군보건소,보건소,전라남도 강진군 강진읍 목리길 11 ,,34.6383362257568 ,126.7757100266870 
강혜영정신건강의학과의원,의원,"경기도 용인시 기흥구 동백중앙로 265 (중동, 더엠빌딩 304호 일부)",,37.2763945486179 ,127.1526466616990 
강화군보건소,보건소,인천광역시 강화군 강화읍 충렬사로 26-1 ,,37.7372942002653 ,126.4848586232730 
강화정신요양원,정신요양시설,인천광역시 강화군 선원면 고식이길 20번길 19-3,www.kanghwa.or.kr,37.7286290058985 ,126.4938392018510 
같은마음정신건강의학과의원,의원,서울특별시 강북구 도봉로 324 글로리타워 (번동),,37.6367915539890 ,127.0248726874130 
개운정신건강의학과의원,의원,"서울특별시 서초구 동작대로 114 5층 (방배동, 유문빌딩)",,37.4867629041126 ,126.9826793104390 
개정정신건강의학과의원,의원,전라북도 군산시 번영로 312 (사정동),,35.9629243867930 ,126.7515371511250 
거제시 정신건강복지센터,기초정신건강복지센터,경상남도 거제시 수양로 506,www.geoje.go.kr,34.8919308904292 ,128.6366622348420 
거제시보건소,보건소,경상남도 거제시 수양로 506,,34.8919308904292 ,128.6366622348420 
거제정신건강의학과의원,의원,경상남도 거제시 고현로 88 202호 (고현동),,34.8861292480663 ,128.6225242269920 
거창군 정신건강복지센터,기초정신건강복지센터,경상남도 거창군 거창읍 거함대로 3079,www.geochang.go.kr/health,35.6810635906997 ,127.8984935234780 
거창군보건소,보건소,경상남도 거창군 거창읍 거함대로 3079 ,,35.6810635906997 ,127.8984935234780 
건국대학교 충주병원,기초정신건강복지센터,충청북도 충주시 국원대로78 2층 ,www.mhc.cj100.net,36.9784404334850 ,127.9285083600750 
건국대학교 충주병원,종합병원,충청북도 충주시 국원대로 82 (교현동),,36.9793166999844 ,127.9290735960080 
건국대학교병원,상급종합병원,서울특별시 광진구 능동로 120-1 (화양동),https://www.kuh.ac.kr/main.do,37.5412356316656 ,127.0720557874700 
건대하늘정신건강의학과의원,의원,서울특별시 광진구 아차산로 213 웅진빌딩 4층 (화양동),,37.5413780592943 ,127.0672005693110 
건양대학교병원,기초정신건강복지센터,대전광역시 서구 만년로 74 서구보건소 6층,www.emind.or.kr,36.3670884877018 ,127.3810998316570 
검단탑병원,종합병원,인천광역시 서구 청마로19번길 5- (당하동),,37.5926243889568 ,126.6707156728160 
경기다사모,정신재활시설,경기도 수원시 팔달구 매산로89,www.kgdasamo.com,37.2704984896655 ,127.0106741766090 
경기도 기초정신건강복지센터,기초정신건강복지센터,경기도 광주시 파발로 194번지,www.gjcity.go.kr,37.4164309113198 ,127.2507218067480 
경기도립정신병원,공립,경기도 용인시 기흥구 중부대로 940,,37.2503964113006 ,127.1555768742580 
경기도의료원 수원병원,종합병원,경기도 수원시 장안구 수성로245번길 69 (정자동),,37.2918594997553 ,126.9963807499270 
경기도의료원 의정부병원,공립,경기도 의정부시 흥선로 142,,37.7410882112715 ,127.0425537156040 
경기도의료원 의정부병원,기초정신건강복지센터,경기도 의정부시 범골로 131 의정부시보건소 3층,www.umind.or.kr,37.7361593290305 ,127.0395595009060 
경기도의료원 의정부병원,중독관리통합지원센터,"경기도 의정부시 의정로 52번길 18, 삼보빌딩 3층",www.uamc.co.kr,37.7372550351954 ,127.0360749139740 
경기도의료원의정부병원,종합병원,경기도 의정부시 흥선로 142 (의정부동),,37.7410882112715 ,127.0425537156040 
경기도자살예방센터,자살예방센터,경기도 수원시 장안구 수성로 245번길 69 (정자동) 경기도의료원 2층,www.mindsave.org,37.2918594997553 ,126.9963807499270 
경기도청 건강증진과,보건소,경기도 수원시 팔달구 효원로 1 (매산로3가) ,,37.2746661643172 ,127.0096198603260 
경기정신과의원,의원,경기도 수원시 장안구 팔달로 211 (영화동),,37.2864934475900 ,127.0088940035960 
경남도청 보건행정과,보건소,경상남도 창원시 의창구 중앙대로 300 (사림동) ,,35.2378032514675 ,128.6919404421460 
경농의료재단 양산병원,기초정신건강복지센터,"경상남도 양산시 중앙로 7-32, 양산시보건복지센터 4층 양산시정신건강복지센터",www.ys.yesbni.com,35.3321571425744 ,129.0379946958790 
경대마음정신건강의학과의원,의원,대구광역시 남구 월배로 474 2층 (대명동),,35.8352714772980 ,128.5562693877540 
경대연합정신건강의학과의원,의원,"대구광역시 남구 월배로 468 2층 (대명동, 한영유니죤빌딩)",,35.8346489024546 ,128.5559677248960 
경대제이정신건강의학과의원,의원,"대구광역시 달서구 월배로 219 701호 (상인동, CENTRO TOWER)",,35.8191047071780 ,128.5370818736510 
경북대학교 간호과학연구소,기초정신건강복지센터,경상북도 구미시 선산대로 111,www.gumimind.com,36.1399351420163 ,128.3459536585230 
경북대학교 간호대학,기초정신건강복지센터,경상북도 영천시 조양공원길 21,www.영천시정신건강복지센터.kr,35.9666147686485 ,128.9322976127950 
경북대학교병원,기초정신건강복지센터,"대구광역시 중구 태평로 45, 중구보건소 3층",www.중구정신건강복지센터.kr,35.8778154965513 ,128.5833354293770 
경북대학교병원,국립,대구광역시 중구 동덕로 130,,35.8662511316347 ,128.6047025684160 
경북대학교병원,상급종합병원,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",,35.8662511316347 ,128.6047025684160 
경북도청 보건정책과,보건소,경상북도 안동시 풍천면 도청대로 455 ,,36.5761205474728 ,128.5057226863850 
경산복지재단,기초정신건강복지센터,경기도 화성시 향남로 470 화성종합경기타운 실내체육관 내 1층,www.hsmind.or.kr,37.1374711167282 ,126.9246650375150 
경산복지재단,중독관리통합지원센터,경기도 화성시 정남면 서봉로 998 정남면보건지소 내 1층,www.hsalcohol.kr,37.1603735753645 ,126.9710694295200 
경산세명병원,기초정신건강복지센터,경상북도 경산시 남매로 158,www.gsmind.or.kr,35.8251124676537 ,128.7432822851010 
경산시보건소,보건소,경상북도 경산시 남매로 158 ,,35.8251124676537 ,128.7432822851010 
경산정신과의원,의원,경상북도 경산시 중앙로 69 (중방동),,35.8229736652040 ,128.7347001282620 
경상남도마산의료원,종합병원,경상남도 창원시 마산합포구 3·15대로 231 (중앙동3가),,35.1991716603293 ,128.5655599671100 
경상대학교병원,국립,경상남도 진주시 강남로 79,,35.1759944007332 ,128.0964924101710 
경상대학교병원,상급종합병원,경상남도 진주시 강남로 79 (칠암동),,35.1759944007332 ,128.0964924101710 
경상대학교병원,중독관리통합지원센터,경상남도 진주시 진주대로 816번길 20 2층,www.jinjuacc.org,35.1741509438565 ,128.0958777539880 
경상북도 안동의료원,공립,경상북도 안동시 태사2길 55,,36.5682167973372 ,128.7320669589480 
경상북도 포항의료원,공립,경상북도 포항시 북구 용흥로 3,,,
경상북도김천의료원,종합병원,경상북도 김천시 모암길 24 (모암동),,36.1226699499893 ,128.1260003595670 
경상북도안동의료원,종합병원,경상북도 안동시 태사2길 55 (북문동),,36.5682167973372 ,128.7320669589480 
경상북도포항의료원,종합병원,경상북도 포항시 북구 용흥로 36 (용흥동),,36.0350717664920 ,129.3537829024590 
경성대학교 산학협력단,기초정신건강복지센터,부산광역시 강서구 공항로 811번길 10 강서브라이트센터 내 보건소 3층,www.brightmaum.or.kr,35.1801905573425 ,128.9574082266060 
경주시보건소,보건소,경상북도 경주시 양정로 300 ,,35.8594832532587 ,129.2246329024200 
경주정신건강상담센터,정신재활시설,"경상북도 경주시 북성로 124, 2층",www.sunarang.com,35.8470303019658 ,129.2152646445760 
경주정신건강의학과의원,의원,경상북도 경주시 봉황로51번길 27 5층 (성건동),,35.8443412887889 ,129.2072934673290 
경찰병원,종합병원,서울특별시 송파구 송이로 123 국립경찰병원 (가락동),,37.4964145655333 ,127.1234874849210 
경찰병원,국립,서울특별시 송파구 송이로 123,,37.4964145655333 ,127.1234874849210 
경희궁삼성정신건강의학과의원,의원,"서울특별시 종로구 송월길 99 2207호 (홍파동, 경희궁자이 2단지)",,37.5708610950823 ,126.9623522571620 
경희대학교병원,상급종합병원,서울특별시 동대문구 경희대로 23 (회기동),,37.5937762050989 ,127.0507416965910 
경희사회복귀시설,정신재활시설,"광주광역시 북구 연양로 105번길 14, 스카이빌 301, 303, 304호",cafe.daum.net/gkdisdus,35.2075509180462 ,126.8793875304310 
경희의료원,기초정신건강복지센터,서울특별시 동대문구 홍릉로81 2층,ddmmind.net,37.5875163184778 ,127.0427076375380 
계룡시 정신건강복지센터,기초정신건강복지센터,충청남도 계룡시 장안로 54(금암동 10-5),,36.2730574044493 ,127.2500263594030 
계룡시보건소,보건소,충청남도 계룡시 장안로 54 ,,36.2730574044493 ,127.2500263594030 
계명대학교동산병원,상급종합병원,대구광역시 달서구 달구벌대로 1035 (신당동),,35.8539564853872 ,128.4802258176380 
계양구보건소,보건소,인천광역시 계양구 계산새로 88,,37.5374405601649 ,126.7377600729120 
계요병원,기초정신건강복지센터,경기도 의왕시 오봉로34 의왕시보건소별관,www.uwcmh.com,37.3437876927353 ,126.9719938052820 
고담의료재단 마더스병원,광역정신건강복지센터,"울산광역시 남구 화합로 105, 로하스빌딩 2층",www.usmind.or.kr,35.5340902870779 ,129.3406330534580 
고담의료재단 마더스병원,중독관리통합지원센터,"울산광역시 남구 화합로 105 (달동, 로하스빌딩 5층)",www.usaddiction.or.kr,35.5340902870779 ,129.3406330534580 
고담의료재단 마더스병원,중독관리통합지원센터,"울산광역시 중구 학성로 84-1, 3층",,35.5549548339548 ,129.3202362489200 
고려대학교 산학협력단,기초정신건강복지센터,경기도 안산시 단원구 화랑로 387,www.ansanmind.or.kr,37.3225525736658 ,126.8327112689630 
고려대학교 산학협력단,중독관리통합지원센터,"경기도 안산시 단원구 화랑로 387, 2층",www.ansanacc.or.kr,37.3225525736658 ,126.8327112689630 
고려대학교의과대학부속구로병원,상급종합병원,서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),,37.4911503253664 ,126.8845110341770 
고려대학교의과대학부속안산병원,상급종합병원,경기도 안산시 단원구 적금로 123 (고잔동),,37.3188584497967 ,126.8249994664360 
고려신경정신과의원,의원,대전광역시 중구 대종로 504 2층 (은행동),,36.3293358176833 ,127.4254898992510 
고려정신건강의학과의원,의원,"경기도 광명시 철산로 12 3층 304호 (철산동, 로데오빌딩)",,37.4755635837470 ,126.8675718014190 
고려제일정신과의원,의원,서울특별시 구로구 구로동로 240 세일빌딩 2층 (구로동),,37.5000087655668 ,126.8826987026400 
고려힐링정신건강의학과의원,의원,경기도 화성시 봉담읍 동화길 85 307-308호,,,
고려힐링정신건강의학과의원,의원,"서울특별시 서대문구 신촌로35길 10 212호 (북아현동, e편한세상신촌 4단지)",,37.5586216967850 ,126.9558604056050 
고령군 정신건강복지센터,기초정신건강복지센터,경상북도 고령군 대가야읍 왕릉로 56-8,https://www.goryeong.go.kr/health,35.7248718831614 ,128.2645147969720 
고령군보건소,보건소,경상북도 고령군 대가야읍 왕릉로 56-5 ,,35.7252351706979 ,128.2648137449790 
고석만정신건강의학과의원,의원,"강원도 원주시 능라동길 59 (무실동, 정한프라자 509호)",,37.3344235275605 ,127.9308177392250 
고성군 정신건강복지센터,기초정신건강복지센터,경상남도 고성군 남포로79번길 103-3,,34.9695737543353 ,128.3154029343510 
고성군보건소,보건소,강원도 고성군 간성읍 수성로 30 ,,38.3776748572342 ,128.4720941429630 
고성군보건소,보건소,경상남도 고성군 고성읍 남포로79번길 103-3 ,,34.9695737543353 ,128.3154029343510 
고성군정신건강복지센터,기초정신건강복지센터,강원 고성군 간성읍 수성로 30 보건소 2층,,38.3776748572342 ,128.4720941429630 
고성성심병원,병원,경상남도 고성군 회화면 남해안대로 3963-21 (회화면),,35.0807602986289 ,128.3723829794440 
고성정신요양원,정신요양시설,경상남도 고성군 마암면 남해안대로3268-92,www.gsmental.or.kr,35.0224617199626 ,128.3531306771670 
고신경정신과의원,의원,제주특별자치도 제주시 서광로 203 (삼도일동),,33.5001755909329 ,126.5181402632790 
고신대학교 의과대학,기초정신건강복지센터,부산광역시 영도구 동삼북로2 동삼1주공아파트 상가 209호,www.yeongdomind.or.kr,35.0827747930031 ,129.0667717199360 
고신대학교복음병원,상급종합병원,부산광역시 서구 감천로 262 (암남동),,35.0810780661749 ,129.0145127995330 
고양시 덕양구보건소,보건소,경기도 고양시 덕양구 원당로 33번길 28,,37.6578309971039 ,126.8311844394210 
고양시 일산동구보건소,보건소,"경기도 고양시 일산동구 중앙로 1228 1, 2층",,,
고양시 일산서구보건소,보건소,경기도 고양시 일산서구 일중로 54 ,,37.6844752345727 ,126.7757855167640 
고양정신병원,공립,경기도 고양시 덕양구 통일로 1102번길 46,,37.7114936987659 ,126.8545606774630 
고양정신병원,병원,경기도 고양시 덕양구 통일로1102번길 46 (내유동),,37.7114936987659 ,126.8545606774630 
고운누리,정신재활시설,"대전광역시 서구 도마로25번길 54, 101호(도마동)",blog.naver.com/h_people2006,36.3247928486904 ,127.3732599006010 
고운누리,정신재활시설,경기도 성남시 수정구 산성대로 193 금성빌딩 5층,www.gounnuri.net,37.4373145837914 ,127.1395912194380 
고운마음정신과의원,의원,"경기도 부천시 길주로 137 상록그린힐빌딩, 504호 일부 (상동)",,37.5061354289363 ,126.7576895793670 
고정선신경 정신의학과,기초정신건강복지센터,인천광역시 동구 인중로 377 2층,www.idcm.or.kr,37.4830777767798 ,126.6177134591330 
고정선정신건강의학과의원,중독관리통합지원센터,인천광역시 동구 인중로 377 2층 ,www.icdacc.or.kr,37.4830777767798 ,126.6177134591330 
고정선정신건강의학과의원,의원,"인천광역시 중구 참외전로 134 3,4층 (인현동)",,,
고정신건강의학과의원,의원,인천광역시 서구 가정로 363 그린빌딩 2층 201호 (신현동),,37.5173996525009 ,126.6726788701530 
고정인정신건강의학과의원,의원,"서울특별시 강남구 테헤란로 313 211~212호 (역삼동, 성아하이츠 1차)",http://mindinmind.co.kr/?module=Html&action=SiteComp&sSubNo=5,,
고창군보건소,보건소,전라북도 고창군 고창읍 전봉준로 90 ,,35.4437399689956 ,126.6832316964140 
고천석정신건강의학과의원,의원,광주광역시 북구 필문대로 103 2층 (풍향동),,35.1614841190774 ,126.9302494044100 
고효선정신건강의학과의원,의원,전라북도 익산시 선화로 65 2층 (모현동1가),,35.9501477947299 ,126.9383531925590 
고흥군 정신건강복지센터,기초정신건강복지센터,전라남도 고흥군 등암3길 5,,34.5919854977680 ,127.2692468897920 
고흥군보건소,보건소,전라남도 고흥군 고흥읍 등암3길 5 ,,34.5919854977680 ,127.2692468897920 
곡성군보건의료원,보건소,전라남도 곡성군 곡성읍 곡성로 854 ,,35.2788658397206 ,127.2968556584290 
공감과성장김현철정신건강의학과의원,의원,"대구광역시 수성구 동대구로 300 401동 4층 405호 (범어동, 범어 롯데캐슬)",,35.8567862950117 ,128.6273462727240 
공감더하기정신건강의학과의원,의원,대전광역시 서구 계백로 1135 MK클리닉 404호 (가수원동),,36.3047651958663 ,127.3494970581830 
공감정신건강의학과의원,의원,"경상남도 진주시 순환로 527 7층 701호 (평거동, 좋은메디컬빌딩)",,35.1712047711686 ,128.0614363141370 
공감정신건강의학과의원,의원,서울특별시 송파구 송파대로 404-1 3층 (송파동),,37.5034697864456 ,127.1092315172430 
공감정신건강의학과의원,의원,부산광역시 중구 대청로 80 7층 (대청동3가),,35.1027820311369 ,129.0285831532060 
공감정신건강의학과의원,의원,충청북도 청주시 청원구 율봉로 141 6층 (율량동),,36.6684032642370 ,127.4846457081180 
공감정신건강의학과의원,의원,경상남도 김해시 능동로149번길 6 남일빌딩 301호 (부곡동),,35.2026098840375 ,128.8076494669930 
공감정신과의원,의원,"인천광역시 부평구 부평대로 68 3,4층 (부평동, 동일빌딩)",,,
공감플러스,정신재활시설,서울특별시 강서구 화곡로61길 130 남영빌딩 3층,sotong2013.modoo.at/,37.5586424541538 ,126.8452760675460 
공군교육사 기지병원,병원,경상남도 진주시 금산면 송백로 46 46,,,
공군항공우주의료원,국립,충청북도 청주시 상당구 남일면 쌍수관기길 6,,36.5755732026196 ,127.5121324406980 
공군항공우주의료원,병원,충청북도 청주시 상당구 남일면 단재로 635-0 (),,,
